,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
33988,Castle Peak Road Swatow Baptist Church,青山道潮語浸信會,REM,CHU,834942,821120,"Cheung Lee Commercial Building, Sham Shui Po, KLN",九龍深水埗長利商業大廈,GeoCom
34006,The Ward Memorial Methodist Church,循道衛理聯合教會安素堂,REM,CHU,835829,819472,"The Ward Memorial Methodist Church, Yau Ma Tei, KLN",九龍油麻地循道衛理聯合教會安素堂,GeoCom
34009,Hong Kong Grace Baptist Church Yiu Hing Baptist Chapel,香港懷恩浸信會耀興浸信會福音堂,REM,CHU,841156,815310,"Yiu Hing House, Shau Kei Wan, HK",香港筲箕灣耀興樓,GeoCom
34014,Wang Fa Lotus Association,弘化蓮社,REM,MON,837097,814530,"Sing Woo Building, Happy Valley, HK",香港跑馬地成和大廈,GeoCom
34027,Kowloon Methodist Church,循道衛理聯合教會九龍堂,REM,CHU,835811,818858,"Kowloon Methodist Church, Yau Ma Tei, KLN",九龍油麻地循道衛理聯合教會九龍堂,GeoCom
34032,Beautiful Gate Baptist Church,美門浸信會,REM,CHU,835141,820926,"Fortune Mansion, Sham Shui Po, KLN",九龍深水埗運福樓,GeoCom
34054,Shek Wu Hui Gospel Hall,石湖墟福音堂,REM,CHU,831169,840689,"Shek Wu Hui Gospel Hall, Shek Wu Hui, Sheung Shui, NT",新界上水石湖墟石湖墟福音堂,GeoCom
34067,Hong Kong Convention and Exhibition Centre Theatre 1,香港會議展覽中心演講廳1,CUF,PFM,835810,815820,"Grand Hyatt, Wan Chai, HK",香港灣仔君悅大酒店,GeoCom
34068,Hong Kong Arts Centre-McAulay Studio,香港藝術中心-麥高利小劇場,CUF,PFM,835643,815700,"Hong Kong Arts Centre, Wan Chai, HK",香港灣仔香港藝術中心,GeoCom
34074,The Evangelical Lutheran Church of Hong Kong Truth Lutheran Church,基督教香港信義會真理堂,REM,CHU,835794,819415,"The Evangelical Lutheran Church of Hong Kong Truth Lutheran Church, Yau Ma Tei, KLN",九龍油麻地基督教香港信義會真理堂,GeoCom
34076,The Society for the Aid and Rehabilitation of Drug Abusers-Bradbury Hong Ching Centre,香港戒毒會-白普理康青中心,GOV,CSD,837096,814527,"Sing Woo Building, Happy Valley, HK",香港跑馬地成和大廈,GeoCom
34079,Hong Kong Convention and Exhibition Centre Theatre 2,香港會議展覽中心演講廳2,CUF,PFM,835810,815790,"Grand Hyatt, Wan Chai, HK",香港灣仔君悅大酒店,GeoCom
34080,"Christian Assembly Hall, Hong Kong (Sham Shui Po)",香港基督徒聚會所(深水埗區),REM,CHU,835245,820876,"Yue Wah Building, Sham Shui Po, KLN",九龍深水埗譽華大廈,GeoCom
34091,Lung Shan Temple,龍山寺,REM,MON,834223,839730,"Lung Shan Temple, Fanling, NT",新界粉嶺龍山寺,GeoCom
34105,Calvary Baptist Church,十字架山浸信會,REM,CHU,834942,821120,"Cheung Lee Commercial Building, Sham Shui Po, KLN",九龍深水埗長利商業大廈,GeoCom
34119,Hong Kong Arts Centre-Shouson Theatre,香港藝術中心-壽臣劇院,CUF,PFM,835643,815700,"Hong Kong Arts Centre, Wan Chai, HK",香港灣仔香港藝術中心,GeoCom
34130,Faith Hope Charity Evangelical Mission Shau Kei Wan Church,信望愛福音會筲箕灣堂,REM,CHU,841350,815535,"Wah Po Commercial Centre, Shau Kei Wan, HK",香港筲箕灣華寶商業中心,GeoCom
34133,Saint Michael's Catholic Cemetery Chapel (Happy Valley),跑馬地天主教聖彌額爾墳場小堂,REM,CHU,836427,814883,"Chapel, Happy Valley, HK",香港跑馬地教堂,GeoCom
34137,Sheung Shui Baptist Church,上水浸信會,REM,CHU,831222,840325,"Landmark North, Sheung Shui, NT",新界上水上水廣場,GeoCom
34138,Pentecostal Holiness Church Hong Kong Conference - Pentecostal Holiness Church Ling Yan Assembly,五旬節聖潔會香港區會-五旬節聖潔會靈恩堂,REM,CHU,841317,815576,"Po Fuk Building, Shau Kei Wan, HK",香港筲箕灣寶福大廈,GeoCom
34140,"Chinese Methodist Church, Wan Chai, Hong Kong",循道衛理聯合教會香港堂,REM,CHU,835567,815399,"Methodist House, Wan Chai, HK",香港灣仔循道衛理大廈,GeoCom
34147,International Church of the Nazarene (English),基督教宣聖會國際教會(英文),REM,CHU,841420,815378,"Hung Lee Building, Shau Kei Wan, HK",香港筲箕灣鴻利大廈,GeoCom
34151,Chinese Young Men's Christian Association of Hong Kong Wu Kwai Sha Youth Village Chapel,香港中華基督教青年會烏溪沙青年新村禮拜堂,REM,CHU,842551,832135,"Chinese Young Men's Christian Association of Hong Kong Wu Kwai Sha Youth Village Chapel, Wu Kai Sha, NT",新界烏溪沙香港中華基督教青年會烏溪沙青年新村禮拜堂,GeoCom
34158,,金華道觀,REM,MON,830332,836984,,新界粉嶺金華道觀,GeoCom
34163,Daughters of Mary Help of Christians - St. Joseph's Convent,聖母進教之佑孝女會-聖若瑟修院,REM,MON,831316,825132,"Kwai Chung, NT",新界葵涌,GeoCom
34171,Evangelical Free Church of China Tung Fook Church,中國基督教播道會同福堂,REM,CHU,837515,815617,"Bay View Shopping Arcade, Causeway Bay, HK",香港銅鑼灣灣景商場,GeoCom
34178,Christian and Missionary Alliance Sun Oi Church,基督教宣道會宣愛堂,REM,CHU,844806,818997,"Christian and Missionary Alliance Sun Kei Secondary School, Tseung Kwan O, NT",新界將軍澳基督教宣道會宣基中學,GeoCom
34207,Fook Poon Yuen Wui,復本原會,REM,MON,834804,820934,"Sham Shui Po, KLN",九龍深水埗,GeoCom
34208,Hong Kong Bodhi Siksa Society,香港菩提學會,REM,MON,837490,815635,"Bay View Mansion, Causeway Bay, HK",香港銅鑼灣灣景樓,GeoCom
34222,China Peniel Missionary Society Yaumati Church,中華便以利會油麻地堂,REM,CHU,835543,819515,"China Peniel Missionary Society Yaumati Church, Mong Kok, KLN",九龍旺角中華便以利會油麻地堂,GeoCom
34240,Shatin Baptist Church Ma On Shan Chapel,沙田浸信會馬鞍山堂,REM,CHU,842619,832271,"Chinese Young Men's Christian Association of Hong Kong Wu Kwai Sha Youth Village Multi-sport Hall, Wu Kai Sha, NT",新界烏溪沙香港中華基督教青年會烏溪沙青年新村多用途體育館,GeoCom
34242,The Church of Christ in China Ying Wa Church,中華基督教會英華堂,REM,CHU,833765,821264,"YING WA COLLEGE, Sham Shui Po, KLN",九龍深水埗英華書院,GeoCom
34251,"Kowloon Society for the Promotion of Virtue, Lung Hing Tong",九龍道德會龍慶堂,REM,MON,835062,820840,"Lung Hing Tong, Sham Shui Po, KLN",九龍深水埗龍慶堂,GeoCom
34252,The Church of Christ in China Wanchai Church,中華基督教會灣仔堂,REM,CHU,835742,815044,"Chuk Kui Terrace, Wan Chai, HK",香港灣仔竹居臺,GeoCom
34256,Shun Sin Tan,信善壇,REM,MON,834586,821117,"Shung Tak Building, Sham Shui Po, KLN",九龍深水埗崇德樓,GeoCom
34258,The Evangelical Lutheran Church of Hong Kong Communion Lutheran Church,基督教香港信義會靈合堂,REM,CHU,830956,840054,"Choi Lai House, Sheung Shui, NT",新界上水彩麗樓,GeoCom
34261,Tsung Tsin Mission of Hong Kong Shamshuipo Church,基督教香港崇真會深水埗堂,REM,CHU,835341,821087,"TSUNG TSIN PRIMARY SCHOOL AND KINDERGARTEN, Sham Shui Po, KLN",九龍深水埗崇真小學暨幼稚園,GeoCom
34263,Pentecostal Holiness Church Chinese Conference - Sha Tau Kok Pentecostal Holiness Church,五旬節聖潔會華人區會-五旬節聖潔會沙頭角堂,REM,CHU,841232,845050,"Sha Tau Kok, NT",新界沙頭角,GeoCom
34278,Wun Chuen Sin Kwoon,雲泉仙館,REM,MON,834164,843426,"Ta Kwu Ling, NT",新界打鼓嶺,GeoCom
34281,South China Foursquare Gospel Church,華南四方福音會,REM,CHU,835343,820931,"Foursquare Mansion, Sham Shui Po, KLN",九龍深水埗四方大廈,GeoCom
34284,Hong Kong Chinese Presbyterian Church,香港華僑長老會,REM,CHU,835232,821128,"Wah Kiu Mansion, Sham Shui Po, KLN",九龍深水埗華僑大廈,GeoCom
34296,International Christian Assembly of God (Chai Wan),國際神召會(柴灣),REM,CHU,842410,813752,"Chai Wan Cinema Building, Chai Wan, HK",香港柴灣柴灣戲院大廈,GeoCom
34306,The Hong Kong Academy for Performing Arts Lyric Theatre,香港演藝學院歌劇院,CUF,PFM,835550,815737,"The Hong Kong Academy For Performing Arts Theatre Block, Wan Chai, HK",香港灣仔香港演藝學院劇院大樓,GeoCom
34309,Hong Kong Evangelical Yan Lam Church,香港宣教會恩霖堂,REM,CHU,830956,840054,"Choi Lai House, Sheung Shui, NT",新界上水彩麗樓,GeoCom
34312,Tin Tak Sing Kau Che Kok Mei She,天德聖教自覺微社,REM,MON,835095,821342,"Rondall Building, Sham Shui Po, KLN",九龍深水埗南都大廈,GeoCom
34319,Tuen Mun Christian Truth Church,基督教會屯門真道堂,REM,CHU,815453,828545,"Koon Hing Building, Tuen Mun, NT",新界屯門冠興樓,GeoCom
34325,Chai Wan Baptist Church Siu Sai Wan Baptist Chapel,柴灣浸信會小西灣福音堂,REM,CHU,843619,813685,"Sui Fu House, Siu Sai Wan, HK",香港小西灣瑞富樓,GeoCom
34331,Sheng Kung Hui St. James' Church,聖公會聖雅各堂,REM,CHU,835962,814841,"Sheng Kung Hui St. James' Church, Mid-Levels, HK",香港半山區聖公會聖雅各堂,GeoCom
34332,Wan Chai Swatow Baptist Church,灣仔潮語浸信會,REM,CHU,835789,815515,"Yien Man Building, Wan Chai, HK",香港灣仔仁文大廈,GeoCom
34338,Drug Addicts Counselling and Rehabilitation Services-Enchi Lodge,得基輔康會-恩慈之家,GOV,CSD,829483,840395,"Sheung Shui, NT",新界上水,GeoCom
34343,"Chinese Rhenish Church, Wan Chai",中華基督教禮賢會灣仔堂,REM,CHU,837890,815737,"Chinese Rhenish Church, Wan Chai, Tai Hang, HK",香港大坑中華基督教禮賢會灣仔堂,GeoCom
34349,Good News Church of Christ,佳音基督教會,REM,CHU,831124,840445,"Shek Wu Hui, Sheung Shui, NT",新界上水石湖墟,GeoCom
34350,District Court,區域法院,GOV,JUD,835807,815704,"District Court, Wanchai Tower, 12 Harbour Road, Hong Kong",香港灣仔港灣道12號灣仔政府大樓區域法院,GeoCom
34355,Hong Chi Fanling Integrative Rehabilitation Complex,匡智粉嶺綜合復康中心,HNC,REH,832170,840100,"Hong Chi Fanling Integrative Rehabilitation Complex, Fanling, NT",新界粉嶺匡智粉嶺綜合復康中心,GeoCom
34368,Chi Sum Fat Tong Wai Sum Ching She,智心佛堂唯心精舍,REM,MON,835272,820851,"Cheung Shing Building, Sham Shui Po, KLN",九龍深水埗長勝大廈,GeoCom
34371,Family Court,家事法庭,GOV,JUD,835807,815704,"M2, Wanchai Law Courts,Wanchai Tower , 12 Harbour Road, Hong Kong",香港灣仔港灣道12號灣仔政府大樓閣樓二,GeoCom
34372,The Church of Jesus Christ of Latter-Day Saints (Fanling),耶穌基督後期聖徒教會(粉嶺),REM,CHU,834035,840674,"The Church of Jesus Christ of Latter-Day Saints (Fanling), Fanling, NT",新界粉嶺耶穌基督後期聖徒教會(粉嶺),GeoCom
34374,Sheng Kung Hui St. Mary's Church,聖公會聖馬利亞堂,REM,CHU,837490,815520,"Sheng Kung Hui St. Mary's Church, Causeway Bay, HK",香港銅鑼灣聖公會聖馬利亞堂,GeoCom
34386,Immanuel Baptist Church,以馬內利浸信會,REM,CHU,833896,821717,"Immanuel Baptist Church Au Shue Hung Social Service Building, Cheung Sha Wan, KLN",九龍長沙灣以馬內利浸信會區樹洪社會服務大樓,GeoCom
34388,Labour Tribunal,勞資審裁處,GOV,JUD,835870,818772,"1 Tuen Hi Road, Tuen Mun, New Territories",九龍加士居道36號,GeoCom
34389,Hong Kong Buddhist Lecture Hall,佛教講堂,REM,MON,837095,814576,"Race View Apartments, Happy Valley, HK",香港跑馬地愉園大廈,GeoCom
34392,Sheng Kung Hui Holy Wisdom Church,聖公會聖智堂,REM,CHU,831725,840156,"Sheng Kung Hui Chan Young Secondary School, Sheung Shui, NT",新界上水聖公會陳融中學,GeoCom
34393,Shau Kei Wan Swatow Baptist Church,筲箕灣潮語浸信會,REM,CHU,841329,815490,"Hong Wah Mansion Block 1, Shau Kei Wan, HK",香港筲箕灣康華大廈1座,GeoCom
34397,Living Spring Foursquare Gospel Church,四方福音會活泉堂(英語),REM,CHU,835343,820931,"Foursquare Mansion, Sham Shui Po, KLN",九龍深水埗四方大廈,GeoCom
34400,Cheung Shan Monastery,長山古寺,REM,MON,836139,843276,"Cheung Shan Monastery, Ta Kwu Ling, NT",新界打鼓嶺長山古寺,GeoCom
34402,Epworth Village Methodist Church,循道衛理聯合教會愛華村堂,REM,CHU,842084,814411,"The Methodist Church Hong Kong-Methodist Epworth Village Community Centre, Chai Wan, HK",香港柴灣循道衛理聯合教會循道愛華村服務中心,GeoCom
34404,The Church of Christ in China Man Lam Christian Church,中華基督教會香港閩南堂,REM,CHU,836964,814368,"The Church of Christ in China Man Lam Christian Church, Happy Valley, HK",香港跑馬地中華基督教會香港閩南堂,GeoCom
34406,Hong Kong Arts Centre,香港藝術中心,CUF,PFM,835643,815700,"Hong Kong Arts Centre, Wan Chai, HK",香港灣仔香港藝術中心,GeoCom
34408,The Evangelical Lutheran Church of Hong Kong Wan Chai Lutheran Church,基督教香港信義會灣仔堂,REM,CHU,835860,815540,"Heung Hoi Mansion, Wan Chai, HK",香港灣仔香海大廈,GeoCom
34460,Chinese Christian Evangelists' Mission Sai Tai Church,中國基督徒傳道會西大堂,REM,CHU,841485,815369,"Fu King Building, Shau Kei Wan, HK",香港筲箕灣富景大樓,GeoCom
34461,Chinese Christian Worker's Fellowship Choi Po Gospel Centre,神召會華人同工聯會彩蒲福音堂,REM,CHU,830833,840257,"Multi-storey Car Park, Sheung Shui, NT",新界上水多層停車場,GeoCom
34473,Christian and Missionary Alliance Ruth Hitchcock Memorial Church,基督教宣道會愛光堂,REM,CHU,841384,815589,"Eastern Commercial Centre, Shau Kei Wan, HK",香港筲箕灣海安商業中心,GeoCom
34478,Conservative Baptist Wing Kei Church,浸信宣道會榮基教會,REM,CHU,830733,826172,"Shek Ho House, Tsuen Wan, NT",新界荃灣石荷樓,GeoCom
34482,The Hong Kong Mantra Institute for Lay Women Buddhists,香港佛教真言宗女居士林,REM,MON,837989,815372,"The Hong Kong Mantra Institute for Lay Women Buddhists, Tai Hang, HK",香港大坑香港佛教真言宗女居士林,GeoCom
34511,Christian and Missionary Alliance Sterling Light Church,基督教宣道會純光堂,REM,CHU,835575,819482,"Wing Wong Commercial Building, Mong Kok, KLN",九龍旺角永旺行,GeoCom
34520,South Asian Lutheran Evangelical Mission Shau Kei Wan Lutheran Church,南亞路德會筲箕灣堂,REM,CHU,841375,815555,"Seaview Plaza, Shau Kei Wan, HK",香港筲箕灣海景廣場,GeoCom
34521,The Evangelical Lutheran Church of Hong Kong Eternal Life Lutheran Church,基督教香港信義會永生堂,REM,CHU,834648,820937,"Kam Fai Building, Sham Shui Po, KLN",九龍深水埗金輝樓,GeoCom
34525,The Hong Kong Jockey Club Amphitheatre,香港賽馬會演藝劇院,CUF,PFM,835477,815706,"The Hong Kong Academy For Performing Arts Academy Block, Wan Chai, HK",香港灣仔香港演藝學院教學大樓,GeoCom
34526,First Assembly of God Church Harland Park Memorial Church,神召會禮拜堂欣榮堂,REM,CHU,841384,815589,"Eastern Commercial Centre, Shau Kei Wan, HK",香港筲箕灣海安商業中心,GeoCom
34539,Kam Wah Ching Sher,錦華精舍,REM,MON,834681,833749,"Kam Wah Ching Sher, Tai Po, NT",新界大埔錦華精舍,GeoCom
34541,Fat Wah Yuen,法華苑,REM,MON,806667,812146,"Fat Wah Yuen, Lantau Island, NT",新界大嶼山法華苑,GeoCom
34545,Tuen Mun Magistrates' Courts,屯門裁判法院,GOV,JUD,815550,827906,"1 Tuen Hi Road, Tuen Mun, New Territories",香港新界屯喜路1號,GeoCom
34546,Fanling Magistrates' Courts,粉嶺裁判法院,GOV,JUD,832365,839541,"1 Pik Fung Road, Fanling",新界粉嶺璧峰路一號,GeoCom
34547,Eastern Magistrates' Courts,東區裁判法院,GOV,JUD,841138,816162,"4/F - 7/F, Eastern Law Courts Building, 29 Tai On Street, Sai Wan Ho, Hong Kong",香港西灣河太安街29號東區法院大樓四樓至七樓,GeoCom
34549,Christian Zheng Sheng Association-Ha Keng Treatment and Rehabilitation Youth Centre for Male,基督教正生會-霞澗男性青少年戒毒及康復中心,GOV,CSD,819136,809820,"Christian Zheng Sheng College (Chi Ma Wan), Chi Ma Wan, Lantau Island, NT",新界大嶼山芝麻灣基督教正生書院(芝麻灣),GeoCom
34550,Christian Zheng Sheng Association-Ha Keng Treatment and Rehabilitation Female Centre,基督教正生會-霞澗女性戒毒及康復中心,GOV,CSD,819136,809820,"Christian Zheng Sheng College (Chi Ma Wan), Chi Ma Wan, Lantau Island, NT",新界大嶼山芝麻灣基督教正生書院(芝麻灣),GeoCom
34551,Christian Zheng Sheng Association-Mui Wo Male Training Centre for Adult,基督教正生會-梅窩男性成人訓練中心,GOV,CSD,818222,813726,"Mui Wo, Lantau Island, NT",新界大嶼山梅窩,GeoCom
34552,Wu Oi Christian Centre-Tai Mei Tuk Female Training Centre,基督教互愛中心-大尾篤女性訓練中心,GOV,CSD,842542,837488,"Tai Po, NT",新界大埔,GeoCom
34555,Treatment Centre-Glorious Praise Fellowship (Hong Kong),戒毒治療中心-榮頌團契,GOV,CSD,819422,825625,"Treatment Centre-Glorious Praise Fellowship (Hong Kong), Siu Lam, Tuen Mun, NT",新界屯門小欖戒毒治療中心-榮頌團契,GeoCom
34556,Wu Oi Christian Centre-Long Ke Training Centre,基督教互愛中心-浪茄男性訓練中心,GOV,CSD,856609,826348,"Sai Kung, NT",新界西貢,GeoCom
34557,Caritas Wong Yiu Nam Centre,明愛黃耀南中心,GOV,CSD,845885,820160,"Caritas Wong Yiu Nam Centre, Hang Hau, Tseung Kwan O, NT",新界將軍澳坑口明愛黃耀南中心,GeoCom
34558,"The Society of Rehabilitation and Crime Prevention, Hong Kong-Hong Kong Female Hostel",香港善導會-香港女宿舍,GOV,CSD,836267,815621,"City Mansion, Wan Chai, HK",香港灣仔城市大廈,GeoCom
34559,"The Society of Rehabilitation and Crime Prevention, Hong Kong-Bradbury OASIS Hostel",香港善導會-白普理綠洲宿舍,GOV,CSD,835889,819892,"Wah Lok Building, Mong Kok, KLN",九龍旺角華樂大廈,GeoCom
34564,The Society for the Aid and Rehabilitation of Drug Abusers-Shek Kwu Chau Treatment and Rehabilitation Centre,香港戒毒會-石鼓洲康復院,GOV,CSD,816876,806306,"Shek Kwu Chau, NT",新界石鼓洲,GeoCom
34586,The Evangelical Lutheran Church of Hong Kong Tao Yan Lutheran Church,基督教香港信義會道恩堂,REM,CHU,811643,816249,"The Evangelical Lutheran Church of Hong Kong Tao Yan Youth Camp, Tung Chung, Lantau Island, NT",新界大嶼山東涌基督教香港信義會道恩青年營,GeoCom
34632,The Hong Kong Mantra Institute For Lay Buddhists,香港佛教真言宗居士林,REM,MON,837974,815381,"The Hong Kong Mantra Institute For Lay Buddhists, Tai Hang, HK",香港大坑香港佛教真言宗居士林,GeoCom
34641,Jewish Cemetery Chapel,猶太墳場小教堂,REM,CHU,837199,814286,"Jewish Cemetery Chapel, Happy Valley, HK",香港跑馬地猶太墳場小教堂,GeoCom
34647,The Church of Christ in China Shing Kwong Church,中華基督教會聖光堂,REM,CHU,837538,815351,"The Church of Christ in China Shing Kwong Church, So Kon Po, HK",香港掃桿埔中華基督教會聖光堂,GeoCom
34648,Christian and Missionary Alliance Shau Kei Wan Church,基督教宣道會筲箕灣堂,REM,CHU,841367,815560,"Seaview Plaza, Shau Kei Wan, HK",香港筲箕灣海景廣場,GeoCom
34649,Christian and Missionary Alliance Fook Yam Church,基督教宣道會福蔭堂,REM,CHU,815508,828670,"Hing Fat Building, Tuen Mun, NT",新界屯門興發大廈,GeoCom
34659,Ying Hing Fat Tong,英慶佛堂,REM,MON,835045,820467,"Mong Kok, KLN",九龍旺角,GeoCom
34666,Sisters of St. Paul de Chartres - St. Paul's House of Prayer,沙爾德聖保祿女修會-聖保祿樂靜院,REM,MON,829398,840288,"Sheung Shui, NT",新界上水,GeoCom
34667,Tin Tak Sing Kau Lai Yee Ching She,天德聖教禮賢精舍,REM,MON,834736,821293,"Sham Shui Po, KLN",九龍深水埗,GeoCom
34692,Tsung Tsin Mission of Hong Kong Fanling Tsung Kyam Church,基督教香港崇真會粉嶺崇謙堂,REM,CHU,833343,839668,"Shung Him Tong, Fanling, NT",新界粉嶺崇謙堂,GeoCom
34697,Ling Liang Worldwide Evangelistic Mission-Hong Kong Ling Liang Church,基督教靈糧世界佈道會-香港靈糧堂,REM,CHU,836971,815382,"Ling Liang Worldwide Evangelistic Mission-Hong Kong Ling Liang Church, Causeway Bay, HK",香港銅鑼灣基督教靈糧世界佈道會-香港靈糧堂,GeoCom
34708,The Chinese Full Gospel Shau Kei Wan Church,基督教中華完備救恩會筲箕灣堂,REM,CHU,841333,815566,"Asia Harvest Commercial Centre, Shau Kei Wan, HK",香港筲箕灣潤民商業中心,GeoCom
34710,Kam Yuk Tong To Yuen,金玉堂道院,REM,MON,834786,820920,"Sham Shui Po, KLN",九龍深水埗,GeoCom
34712,The Evangelical Lutheran Church of Hong Kong Faith Joy Lutheran Church,基督教香港信義會信樂堂,REM,CHU,842322,813742,"Hing Wah (I) Estate, Chai Wan, HK",香港柴灣興華(一)邨,GeoCom
34720,Assembly of God Chapel of Praise,神召會頌恩堂,REM,CHU,831244,840726,"Kentwood Place, Shek Wu Hui, Sheung Shui, NT",新界上水石湖墟金湖居,GeoCom
34721,Yiu Tung Baptist Church,耀東浸信會,REM,CHU,840907,815531,"Yiu Fu House, Shau Kei Wan, HK",香港筲箕灣耀富樓,GeoCom
34729,Heung Hoi Ching Kok Lin Association,香海正覺蓮社,REM,MON,837095,814576,"Race View Apartments, Happy Valley, HK",香港跑馬地愉園大廈,GeoCom
34742,Po Chun Tong,葆真堂,REM,MON,834922,841589,"Fanling, NT",新界粉嶺,GeoCom
34749,Sin Tin To Chiu Yum Fat Tong,先天道潮音佛堂,REM,MON,835272,820851,"Cheung Shing Building, Sham Shui Po, KLN",九龍深水埗長勝大廈,GeoCom
34752,Shun Tin Baptist Church Sham Shui Po Chapel,順天浸信會深水埗堂,REM,CHU,834354,821018,"Shining Court, Sham Shui Po, KLN",九龍深水埗順興閣,GeoCom
34753,Pok Oi To Tong,博愛道堂,REM,MON,837368,828975,"Pok Oi To Tong, Fo Tan, Sha Tin, NT",新界沙田火炭博愛道堂,GeoCom
34755,Hindu Temple,印度廟,REM,RPS,836851,814589,"Hindu Temple, Happy Valley, HK",香港跑馬地印度廟,GeoCom
34756,Lands Tribunal,土地審裁處,GOV,JUD,835841,818813,"38, Gascoigne Road, Yau Ma Tei, Kowloon",九龍油麻地加士居道38號,GeoCom
34939,Hong Kong Cultural Centre Grand Theatre,香港文化中心大劇院,CUF,PFM,835619,817173,"Auditoria Building, Tsim Sha Tsui, KLN",九龍尖沙咀演藝大樓,GeoCom
34940,Hong Kong Cultural Centre Concert Hall,香港文化中心音樂廳,CUF,PFM,835544,817234,"Hong Kong Cultural Centre, Tsim Sha Tsui, KLN",九龍尖沙咀香港文化中心,GeoCom
34943,Hong Kong Cultural Centre Studio Theatre,香港文化中心劇場,CUF,PFM,835601,817267,"Hong Kong Cultural Centre Studio Theatre, Tsim Sha Tsui, KLN",九龍尖沙咀香港文化中心劇場,GeoCom
34944,Po Kong Village Road Park Amphitheatre,蒲崗村道公園露天劇場,CUF,PFM,839050,822757,"Diamond Hill, KLN",九龍鑽石山,GeoCom
34979,Ap Lei Chau Wind Tower Park Piazza,鴨脷洲風之塔公園廣場,CUF,PFM,833805,811765,"Ap Lei Chau, HK",香港鴨脷洲,GeoCom
34980,Leo Lee Arts Centre,李東海藝術中心,CUF,PFM,835282,811458,"CANADIAN INTERNATIONAL SCHOOL, Wong Chuk Hang, HK",香港黃竹坑加拿大國際學校,GeoCom
34981,Methodist International Church,循道衛理聯合教會國際禮拜堂,REM,CHU,836420,815210,"Sheng Kung Hui Tang Shiu Kin Secondary School Sports Centre, Wan Chai, HK",香港灣仔聖公會鄧肇堅中學體育館,GeoCom
34984,Olympic Square,奧林匹克廣場,CUF,PFM,834663,815352,"Central District, HK",香港中環,GeoCom
34985,City Hall Theatre,大會堂劇院,CUF,PFM,834691,815940,"Hong Kong City Hall, Central District, HK",香港中環香港大會堂,GeoCom
35024,Assembly of God Shek Kip Mei Chapel,神召會石硤尾堂,REM,CHU,835376,821536,"Gratia Christian College, Shek Kip Mei, KLN",九龍石硤尾宏恩基督教學院,GeoCom
35118,Sai Ying Pun Free Methodist Church,循理會西營盤堂,REM,CHU,832437,816423,"Samtoh Building, Sai Wan, HK",香港西環三多大樓,GeoCom
35119,St. John's College Chapel,聖約翰學院小聖堂,REM,CHU,831632,815744,"The University of Hong Kong, Pok Fu Lam, HK",香港薄扶林香港大學,GeoCom
35120,"First Church of Christ Scientist, Hong Kong",基督科學教會香港第一分會,REM,CHU,834286,815160,"First Church of Christ Scientist, Hong Kong, Central District, HK",香港中環基督科學教會香港第一分會,GeoCom
35121,The New Life Temple,新生命堂,REM,CHU,834287,816020,"Grand Building, Central District, HK",香港中環大昌大廈,GeoCom
35122,Tsung Tsin Mission Kau Yan Church,基督教香港崇真會救恩堂,REM,CHU,832555,816277,"Tsung Tsin Mission Kau Yan Church, Sai Ying Pun, HK",香港西營盤基督教香港崇真會救恩堂,GeoCom
35123,"Christian Assembly Hall, Hong Kong (Central West)",香港基督徒聚會所(中西區),REM,CHU,832271,816470,"Hang Yue Building, Sai Wan, HK",香港西環恒裕大廈,GeoCom
35124,Sheng Kung Hui St. Stephen's Church,聖公會聖士提反堂,REM,CHU,832300,816220,"Saint Stephen's Church & Kindergarten, Sai Wan, HK",香港西環聖士提反堂及幼稚園,GeoCom
35125,Hong Kong (Western) Swatow Baptist Church,香港(西區)潮語浸信會,REM,CHU,831575,816063,"Hong Kong (Western) Swatow Baptist Church, Kennedy Town, HK",香港堅尼地城香港(西區)潮語浸信會,GeoCom
35126,The Church of Christ in China China Congregational Church (Bridges Street),中華基督教會公理堂必列者士街堂,REM,CHU,833444,816093,"Kung Lee Church Mansions, Sheung Wan, HK",香港上環公理堂大廈,GeoCom
35127,Christian and Missionary Alliance Western District Church,基督教宣道會西環堂,REM,CHU,832885,816568,"Hung Cheong House, Sai Ying Pun, HK",香港西營盤鴻昌商業大廈,GeoCom
35128,West Point Baptist Church,香港西區浸信會,REM,CHU,832142,816461,"Fung Yip Building, Sai Wan, HK",香港西環豐業大廈,GeoCom
35206,Ap Lei Chau Methodist Church,循道衛理聯合教會鴨脷洲堂,REM,CHU,833505,811750,"Lei Chak House Block C2, Ap Lei Chau, HK",香港鴨脷洲利澤樓C2座,GeoCom
35265,Sheng Kung Hui St. Paul's Church (Episcopal),聖公會聖保羅堂,REM,CHU,834059,815651,"St. Paul's Church (Episcopal), Central District, HK",香港中環聖保羅堂,GeoCom
35266,Sacred Heart Canossian Chapel,嘉諾撒聖心小堂,REM,CHU,833798,815688,"Sacred Heart Canossian Chapel, Central District, HK",香港中環嘉諾撒聖心小堂,GeoCom
35267,The Evangelical Lutheran Church of Hong Kong True Love Lutheran Church,基督教香港信義會真愛堂,REM,CHU,832271,816470,"Hang Yue Building, Sai Wan, HK",香港西環恒裕大廈,GeoCom
35268,Hong Kong Baptist Church,香港浸信教會,REM,CHU,833709,815805,"Hong Kong Baptist Church, Central District, HK",香港中環香港浸信教會,GeoCom
