,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
667,DSC INTERNATIONAL SCHOOL,德思齊加拿大國際學校,SCH,SES,840534,816306,"TAIKOO SHING, QUARRY BAY, HONG KONG",香港鰂魚涌太古城,GeoCom
673,JOYCE HOTEL,喜寓,AMD,GHS,835750,817672,"Flat 1008, 10/F, Hai Phong Mansion,101 Nathan Road, Tsim Sha Tsui,Kowloon.",九龍尖沙咀彌敦道101號海防大廈10字樓1008室,GeoCom
675,BOX HILL (HK) INTERNATIONAL KINDERGARTEN - TSEUNG KWAN O,博士山(香港)國際幼稚園-將軍澳,SCH,KDG,843964,818746,"SHOPS 2 & 3, G/F. & 1/F., MOUNT VERDANT, 48 CHUI LING ROAD, TSEUNG KWAN O, NEW TERRITORIES",新界將軍澳翠嶺路48號翠嶺峰商場地下2及3號舖及一樓,GeoCom
676,BOX HILL (HK) INTERNATIONAL KINDERGARTEN - TSEUNG KWAN O,博士山(香港)國際幼稚園-將軍澳,SCH,KDG,843964,818746,"SHOPS 2 & 3, G/F. & 1/F., MOUNT VERDANT, 48 CHUI LING ROAD, TSEUNG KWAN O, NEW TERRITORIES",新界將軍澳翠嶺路48號翠嶺峰商場地下2及3號舖及一樓,GeoCom
677,MING DU HOTEL,名都酒店,AMD,GHS,835609,819584,"2/F, Hang Lung Mansion, 578-580 Nathan Road, Yau Ma Tei, Kowloon.",九龍油麻地彌敦道578-580號恒隆大廈2字樓,GeoCom
859,The Church of Jesus Christ of Latter-Day,耶穌基督後期聖徒教會,REM,CHU,822720,833896,"The Church of Jesus Christ of Latter-Day, Au Tau, Yuen Long, NT",新界元朗凹頭耶穌基督後期聖徒教會,GeoCom
862,Kwun Yam Temple,觀音廟,REM,TMP,837186.04,818783.515,"Kwun Yam Temple, Hung Hom, KLN",九龍紅磡觀音廟,GeoCom
863,Sam Tai Tsz Temple,三太子廟,REM,TMP,834788.262,821151.77,"Sam Tai Tze Temple, Sham Shui Po, KLN",九龍深水埗三太子廟,GeoCom
864,Sheng Kung Hui Calvary Church,聖公會聖十架堂,REM,CHU,838246,822280,"Sheng Kung Hui Calvary Church Social Service Centre, Wong Tai Sin, KLN",九龍黃大仙聖公會聖十架堂社會服務中心,GeoCom
870,Kam Kwong Nepal Christian Church,基督教尼泊爾錦光堂,REM,CHU,825205,833367,"Kam Kwong Nepal Christian Church, Kam Tin, Yuen Long, NT",新界元朗錦田基督教尼泊爾錦光堂,GeoCom
